,company,ret
1596,TPH,-0.107746478873
1419,SLB,-0.107713956761
745,GTE,-0.106995884774
795,MLHR,-0.10619744628
1571,TGNA,-0.105706648071
1588,TSO,-0.105593752653
592,EPE,-0.105495583904
740,GPRO,-0.105315449578
829,HUBG,-0.104900704676
374,CRUS,-0.104880266747
381,CWEI,-0.104586518416
407,CPPL,-0.104166666667
1369,RMD,-0.104121475055
786,HTLD,-0.103206840633
1345,RL,-0.102951820217
1139,NCR,-0.102714600147
1383,RLJ,-0.10192549023
550,EV,-0.101910828025
514,DISH,-0.101790763431
189,AVX,-0.100740740746
1542,SYNA,-0.100436681223
759,HRB,-0.100171282546
578,ETP,-0.100053361792
584,ESV,-0.0997448015097
15,ACHC,-0.099221228728
904,JBL,-0.0990328820119
990,LNKD,-0.0990313025378
521,UFS,-0.0987669320888
1486,SPTN,-0.098643649815
1053,MPW,-0.098643649815
114,APU,-0.0983951591662
1103,MS,-0.0981003685847
197,BCPC,-0.09798059916
1538,SIVB,-0.0971220290075
1547,SNPS,-0.0966528025352
1069,MPG,-0.0965517241361
1331,PVH,-0.0960912635964
1178,NSAM,-0.0960536113161
206,OZRK,-0.0956299140614
662,FFBC,-0.0954712127135
1578,TNC,-0.0953529506354
1337,KWR,-0.095316159251
440,CLGX,-0.0951362907536
127,ANDE,-0.0946967740039
801,HF,-0.0944331098804
988,LNC,-0.0944144144144
1505,SMP,-0.0940476190462
1385,RHI,-0.093984239863
969,LEG,-0.0939509385563
1256,PCTY,-0.0938547486034
1224,OPK,-0.0937781785392
25,AYI,-0.0935738444194
487,DF,-0.0935517970394
1359,RBC,-0.0932272935059
433,COO,-0.0931394153533
916,JNPR,-0.0930003286239
807,HLT,-0.0928359474385
657,FAF,-0.0928286846874
464,CSX,-0.0926573426582
769,HAR,-0.0925640531689
735,GPN,-0.0925587283724
415,COMM,-0.0925341745531
1466,SKYW,-0.0925141460006
233,BSM,-0.0924528301862
22,ACIW,-0.0924512298558
1239,PACW,-0.0924405137919
1110,MSM,-0.0924193548392
43,AFL,-0.0922867101071
802,HCLP,-0.0920795942255
1063,MCY,-0.0920301598656
1594,THS,-0.0914775358962
494,DLX,-0.0911514747543
595,EQT,-0.0910200523105
974,LII,-0.0909963648649
309,CATM,-0.09078627398
195,BEAV,-0.0907725321884
1232,OMI,-0.0904365904366
1054,MDCO,-0.0904365904366
1307,PBH,-0.0904365904366
864,INOV,-0.0904226859283
203,BOH,-0.0902516632912
322,CATY,-0.0899526439544
1043,MBFI,-0.0897561803486
1574,TDS,-0.0889222470298
1264,PAG,-0.0888745427147
1420,SCHL,-0.0888468809073
1427,CKH,-0.0886075949367
913,JCI,-0.0885967419257
414,CMC,-0.0885486018648
814,HOMB,-0.0882088208801
1033,DOOR,-0.0880250223414
1002,LPLA,-0.0877005347586
1145,NFLX,-0.0876605248465
165,ASB,-0.087591240876
54,AKAM,-0.0872355185571
580,EGL,-0.086870958673
1403,STBA,-0.0868148148144
825,HHC,-0.0863140896245
1310,PRI,-0.0862836138512
411,CMA,-0.0862484921622
410,CMCSA,-0.0861538461531
871,IDTI,-0.0860215053763
1479,SSB,-0.0860010162603
882,IP,-0.0853954391071
543,EGBN,-0.0853570134107
1396,RES,-0.0852720665529
1147,NTCT,-0.0849478390462
791,HP,-0.0847718338761
35,ABCO,-0.0846863468635
1424,SMG,-0.0844450752201
27,ACXM,-0.083661848445
849,IMAX,-0.0835482207323
1460,SBGI,-0.0833802816921
853,INDB,-0.0832064389825
1020,MAN,-0.0832064389825
1114,MWA,-0.0831556503117
1482,LUV,-0.0830845465394
326,CBG,-0.0830018562715
151,ARES,-0.0829787234002
645,FII,-0.0829065300867
1467,SWKS,-0.082736389685
1208,ONB,-0.0825439783445
660,FCF,-0.0819838056642
647,FOE,-0.0817506193229
680,FLIR,-0.0814790575911
590,ENV,-0.0812557710065
1503,STAG,-0.0810554834014
282,CHRW,-0.0808893999411
210,B,-0.0803014552995
474,CY,-0.0800210450532
449,COTY,-0.0797127468584
1128,NATI,-0.0795636830275
931,KW,-0.0795466656764
199,BANF,-0.0794932263348
397,CTSH,-0.0794478527607
500,DV,-0.0793353615727
470,CVBF,-0.0791446323645
1512,STT,-0.079125673825
944,KNX,-0.0789831742364
1518,STL,-0.0789324247609
773,HAS,-0.0789005879933
756,GRUB,-0.0787971069661
1530,SXL,-0.0785227680146
605,ESE,-0.078412886947
454,CR,-0.0784049316107
1159,NEU,-0.0783371230515
822,HST,-0.0781844158746
623,EXPD,-0.0778981803328
413,CBSH,-0.0778235421634
237,BX,-0.077803847365
1416,BFS,-0.0777118186716
640,FCB,-0.0775773195876
356,CBI,-0.0775054167032
952,KRO,-0.0769230769272
56,ALRM,-0.0764119601329
1476,SON,-0.0763841807905
1238,PKG,-0.0763515770174
437,CLB,-0.0762827047227
1350,RYN,-0.0760757738434
1109,MSA,-0.0758597594191
85,ALLY,-0.0758552305377
50,AIRM,-0.0758210271104
921,KS,-0.0758210271104
780,HW,-0.0758210271104
1444,SCI,-0.0756587664516
325,CBOE,-0.0756146963745
989,LLTC,-0.074727668845
612,EVER,-0.074696004636
1318,PLD,-0.0744653103808
987,LECO,-0.0741968236998
681,FLO,-0.0741620739971
900,JBHT,-0.0740880979433
1313,PVTB,-0.0740299726959
354,CHSP,-0.0738985593161
1246,PRK,-0.0737100737106
847,ITW,-0.0733766233766
193,AZZ,-0.0733766233766
563,ELLI,-0.0730994152047
29,AAP,-0.0724954556123
793,HLF,-0.0724788098945
1026,MAR,-0.0722391364523
1098,MPWR,-0.0722177774361
1520,SF,-0.0720700985761
1311,PRIM,-0.0717099970277
1532,SHO,-0.0713953183825
1125,NFG,-0.0713377562535
1506,SXI,-0.070742065267
564,EME,-0.0704334365321
1129,NOV,-0.0702335858586
1397,RPM,-0.070071760237
82,ALSN,-0.0700431034478
1027,VAC,-0.0699435283721
646,FDX,-0.069860755329
1322,PRLB,-0.0697514760401
1031,MAS,-0.0696909927687
1324,PRU,-0.0694936564174
530,DST,-0.0694297136333
715,GD,-0.0693766937671
652,FIS,-0.0693000693001
654,FNGN,-0.0692954527344
338,CTL,-0.0691823899391
152,AGII,-0.0690728064714
1367,RNST,-0.0688294213494
1225,ORCL,-0.0688248789204
14,ACIA,-0.0685111989434
1229,OSIS,-0.0684039087948
1189,NUAN,-0.0683840749415
316,CRS,-0.0683659355859
1549,SYNT,-0.068354951616
448,COT,-0.0681818181818
1117,MUSA,-0.0681818181818
1234,OI,-0.0681818181818
1407,SAIA,-0.0680589816004
522,DCI,-0.0679987377491
611,EEFT,-0.067824967825
1240,PANW,-0.0677463745104
978,LXP,-0.0677087710437
394,CDE,-0.0676691729323
162,ASH,-0.067518248175
1418,SCG,-0.0674364896081
861,IOSP,-0.0673192512444
907,JEC,-0.0669483985765
782,HCSG,-0.0668985817501
739,GT,-0.0665714285714
737,GDDY,-0.0664880254564
92,AMBA,-0.0664880254564
297,ELY,-0.0664023785932
1248,PE,-0.0662955465587
706,GIII,-0.0660476893859
1078,KORS,-0.065982746561
1573,TFX,-0.0659021406728
286,CBT,-0.0658135283358
290,CDNS,-0.0655590480467
1519,SHOO,-0.0655534941249
748,GPK,-0.0653373220034
187,AVT,-0.0653046994212
1261,PEGA,-0.0652226415639
838,H,-0.0652087475149
973,LEN,-0.0649971324792
1071,MET,-0.0649728471675
1451,SHW,-0.0647067300764
984,LOCK,-0.0645371577575
760,HAE,-0.0642236494144
36,ACM,-0.0641944531007
943,KLXI,-0.0639695026429
895,IRWD,-0.0638126009693
1059,MLNX,-0.0635555555556
62,ALR,-0.0634882606612
1285,PAA,-0.0632603406314
999,LOGM,-0.0632494205145
1511,STRZA,-0.0631991051454
732,GBCI,-0.0631132646878
48,AIMT,-0.0631132646878
1134,NCI,-0.0631132646878
1247,PH,-0.0629951690822
966,LAZ,-0.0627943485086
1300,POWI,-0.0626445643804
1442,SXT,-0.0623880597021
1146,NTGR,-0.0622143563624
705,GK,-0.062017895711
668,FRME,-0.0619587374097
305,CMN,-0.0617724136394
512,DFS,-0.0617672790895
1544,SYF,-0.0617093489683
813,HOLX,-0.0613779718583
826,HPQ,-0.0611588529035
347,CHFC,-0.0610017865571
669,FMBI,-0.0609178227837
694,FOSL,-0.0608784998716
665,FHN,-0.0606140684529
1439,SMTC,-0.0605759682224
1412,SNY,-0.0605564648129
1235,OXM,-0.0605034594439
1168,NKE,-0.0600558745199
1566,AMTD,-0.0598591549289
898,XXIA,-0.0597579425113
251,BPFH,-0.0597014925367
250,SAM,-0.0596590909091
772,HIG,-0.0593073593071
220,BMS,-0.0591578947351
139,APO,-0.0588964662106
673,FISV,-0.0588767444012
1500,SSNC,-0.0587343168327
236,BLK,-0.0586348934289
113,AMWD,-0.058615819209
306,CBF,-0.0585811009721
176,ADSK,-0.0585599505562
295,CAL,-0.0585226417913
1552,TROW,-0.0584290067068
1529,SLF,-0.0583782746352
266,BSFT,-0.0581818181818
1143,NEOG,-0.058
857,IR,-0.0578524530347
1259,PDCE,-0.0577228596646
998,LOGI,-0.0575731570071
1363,RF,-0.0574680603941
313,KMX,-0.0574572127139
529,DRQ,-0.0571666666666
1389,ROL,-0.0571532580974
377,C,-0.0570335276965
37,AER,-0.0570242516932
1405,SABR,-0.0568908439283
834,HBAN,-0.0568116693092
1468,SLG,-0.0567996501934
508,DGI,-0.0566265060241
1216,ASGN,-0.0564651553317
1066,MMSI,-0.056345177665
346,CHE,-0.0563185082522
1156,NYT,-0.056258790436
122,APH,-0.056244570457
1279,PNFP,-0.0557087699946
766,HBI,-0.0555198973032
157,ARW,-0.0554393305439
166,AIZ,-0.0553600750651
933,KEYS,-0.055351783928
585,ENSG,-0.0548745833276
909,JAZZ,-0.0548682087144
547,EGP,-0.0548403463303
1491,SPR,-0.0547479705494
421,SCOR,-0.0544577205882
13,ABM,-0.0541528239194
551,EBAY,-0.0540447504303
1236,PCAR,-0.0536852740391
1430,SHLD,-0.0534069981584
915,JOY,-0.0532913762817
183,AVY,-0.0531882744028
406,COLB,-0.053111238411
142,AIT,-0.0528654970771
2,MMM,-0.0528328119571
119,AME,-0.0528245017845
579,ENS,-0.052642145054
1101,MNST,-0.0525378450591
719,GM,-0.0524428171799
914,JLL,-0.0524007113219
202,BAC,-0.0523437265967
886,INTU,-0.0519697416244
483,DVA,-0.0518226332971
1515,SCL,-0.0517175572513
1140,NP,-0.0516481847184
835,HII,-0.0515887850467
991,LGF,-0.051406729261
51,APD,-0.0513997626545
4,AOS,-0.0512693498437
634,FDS,-0.0511293994049
273,BC,-0.0507423416642
1564,TCP,-0.0506112469437
1011,MIC,-0.0506080815999
238,BXMT,-0.0505489573421
95,AMED,-0.0504709007486
1166,EGOV,-0.0501930501929
777,HCA,-0.0496065205171
501,DXCM,-0.0495532087734
382,CLH,-0.0495207667732
93,AMC,-0.0489338855648
288,COG,-0.0489247311844
809,HMSY,-0.0485736314572
404,CLNY,-0.0485623267135
877,TILE,-0.0482347091006
329,CDW,-0.0482227756409
1401,RHP,-0.0481240456232
372,CNK,-0.0481207289292
629,XOM,-0.0481133227495
109,ANAT,-0.0480263241817
180,AZO,-0.0479056516606
750,GWB,-0.0479002624662
1116,MUR,-0.0477164280831
468,CMI,-0.0476401506753
667,FIBK,-0.0475098296199
418,CVLT,-0.0474461389494
546,EWBC,-0.047226043101
147,ACGL,-0.047131147541
1436,SIGI,-0.0471055618592
275,BKE,-0.0470588235299
1187,NRG,-0.0469635627527
690,FIG,-0.0469245395606
926,KCG,-0.0464756003098
897,ITT,-0.0464228295818
805,HI,-0.0461016746703
561,EFII,-0.0459277403552
497,DEPO,-0.0457894736842
1044,MBI,-0.0456553755523
940,KRG,-0.0456385719522
1105,MOS,-0.0455161065509
726,GPC,-0.0455161065509
432,CVG,-0.0451690941953
207,BKU,-0.0450211864401
380,CLC,-0.0449826989623
1465,SKX,-0.0448940878912
1179,NRF,-0.0448681996642
5,AAON,-0.0448375154259
215,BECN,-0.0445475638051
1375,RXN,-0.0444056882211
1106,MSI,-0.0442880795114
1567,TEL,-0.0442307692312
211,CUDA,-0.0440122824974
399,COHR,-0.043906020558
918,KALU,-0.0437764315918
1132,BABY,-0.0435907643312
76,ADS,-0.0435399087011
428,CNSL,-0.0429419826378
481,DAR,-0.0427661510464
1277,PDM,-0.0425963488845
1180,NWBI,-0.0422031473536
1016,MHLD,-0.0418553761909
811,HEP,-0.0418461538478
558,EW,-0.0417374423684
456,CREE,-0.0416816385196
1136,NAV,-0.0416666666667
554,ECL,-0.0412284016832
1231,OUT,-0.0411387767489
970,LDOS,-0.0411249582568
172,ATHN,-0.0411032346459
40,AES,-0.0410821643238
1589,TDG,-0.0410125094451
1433,SEIC,-0.0408077753167
724,GNTX,-0.0407429598565
452,CVA,-0.0404573752951
438,CORE,-0.0404028574779
1332,QTWO,-0.0403930131004
1386,ROK,-0.0403105125321
1080,MCHP,-0.0402144772125
1546,SNX,-0.0401323513715
1417,SBAC,-0.0400182731841
731,GILD,-0.0399339128678
994,LYV,-0.0398593200469
1271,PFE,-0.0398572278405
387,CME,-0.0396987837571
232,BKFS,-0.0395119116793
1007,MTB,-0.0393975426076
515,DLB,-0.0393948044539
1094,MOH,-0.0391988713811
1323,PFS,-0.0391034811628
535,DNB,-0.0386643233748
285,CABO,-0.0386610507648
390,CNO,-0.0386172531922
775,HA,-0.0381159814865
1454,SIG,-0.0377624291444
99,AAT,-0.037750353195
653,FITB,-0.0376980071059
185,CAR,-0.037655794219
479,DHR,-0.0375948840514
557,EDR,-0.0374441772587
1283,PJC,-0.0374076721468
767,THG,-0.0369858493591
574,ENH,-0.0369217617452
255,BYD,-0.036757128132
746,LOPE,-0.036757128132
894,IRM,-0.0367332382323
111,AMT,-0.0367187635004
613,EVR,-0.0367005166584
621,EXLS,-0.0366638078902
134,AON,-0.0364681295712
469,CW,-0.0364326909543
565,EMR,-0.0360741636428
1523,SYK,-0.0359282466152
666,FR,-0.0357108017955
1196,NVR,-0.0351866206281
540,ETFC,-0.03515625
683,FLR,-0.0351450756019
1346,RMBS,-0.0349708576187
488,DECK,-0.0349621754242
1553,DATA,-0.0347300481508
32,AEIS,-0.0345417236662
730,GIMO,-0.0345203488372
1067,MTH,-0.0344202898556
1099,MNRO,-0.0344202898556
436,CPRT,-0.0342987804878
979,LBRDA,-0.0342183994016
1365,RS,-0.0340283569638
1198,ORLY,-0.0339648534289
1447,SFBS,-0.0339430894305
711,IT,-0.0337701075956
728,GEO,-0.033756684493
88,MO,-0.033618581908
20,ACN,-0.0335707019326
852,INCY,-0.0335085999465
365,CHDN,-0.0331031626963
489,DE,-0.0330933114371
1540,SYKE,-0.0329877474081
141,AAPL,-0.0329041487851
492,DLPH,-0.0327202978669
1364,RGA,-0.0326702658876
389,CNA,-0.0326702658876
1215,OMC,-0.0326625386989
687,F,-0.0322802197795
1408,CRM,-0.0322182446612
892,IPGP,-0.0321320017369
342,SCHW,-0.0320399764857
729,ROCK,-0.0319634703196
1554,TTWO,-0.0319533203668
1404,SBRA,-0.0315940641442
476,CYS,-0.0315789473684
1305,PX,-0.0315789473684
600,EQC,-0.0315789473684
1548,SNV,-0.0315562765966
496,XRAY,-0.0314216655667
1157,NWL,-0.0314216655667
587,ENTG,-0.0313868613139
169,AF,-0.0311735941307
163,AHL,-0.0311735941307
74,AGN,-0.030977704735
442,CSOD,-0.0308728599495
876,IDCC,-0.0308367771022
107,AMH,-0.0308367771022
1494,SPLK,-0.0306576561727
656,FEYE,-0.0306014400678
144,ATR,-0.0306014400678
344,CHTR,-0.0306014400678
693,FWRD,-0.0306014400678
219,BDC,-0.0306014400678
477,DHI,-0.0302755071139
841,ICUI,-0.0302665520206
1065,MDP,-0.0302665520206
1270,PRGO,-0.0302258561754
1,DDD,-0.0301339285714
1569,TECD,-0.0300993571011
639,FFG,-0.0299730786166
1102,MCO,-0.0299690641918
371,CINF,-0.0299091937807
214,BBT,-0.0297664870402
73,ALLE,-0.0296867385584
1426,SEB,-0.0296377148165
262,BTI,-0.0296377148165
1278,PPC,-0.0296377148165
1425,SNI,-0.0295306732302
536,DNKN,-0.0295306732302
1321,PRTA,-0.0293572751888
443,GLW,-0.0286928799159
310,CCP,-0.0284005979046
955,LLL,-0.0280579050095
379,CTXS,-0.0280097648722
752,GBX,-0.0280095351599
526,DOW,-0.0279186641832
586,ESGR,-0.0273564112537
355,CVX,-0.0272491349477
331,FUN,-0.0271777003498
123,AFSI,-0.0271060111262
1015,MMP,-0.0269519310917
787,HTLF,-0.0269266480959
143,AMAT,-0.0265901981259
362,CHH,-0.0264573991029
178,ADP,-0.0263982978723
1533,STI,-0.0263636363634
879,IBM,-0.0262156006017
1507,SWK,-0.0261759059054
922,KAR,-0.0260326787752
562,LLY,-0.025895953758
1090,MKSI,-0.0254466702761
1469,SLM,-0.0254110612855
398,CNS,-0.0252638311487
671,FCFS,-0.0252604166661
1024,MKL,-0.0249892382918
337,CSFL,-0.0248336988201
267,BRCD,-0.0247890491933
345,CAKE,-0.0245398773
993,LFUS,-0.0243668943801
1434,SIR,-0.0243301002795
269,BAM,-0.0243301002795
485,DCT,-0.024250447236
1077,MGM,-0.0240549828179
1073,MFA,-0.0237925955933
511,DIOD,-0.0237892948173
444,OFC,-0.0237845665696
817,HOPE,-0.0234146341464
403,CIGI,-0.0234146341464
1497,SPSC,-0.02329594478
1254,PAYX,-0.0232686980598
967,LEA,-0.023098362733
633,FB,-0.0229648991785
167,AGO,-0.0229205175572
799,HPE,-0.0227988448151
364,CHD,-0.0227953027849
1243,PZZA,-0.0223972003512
228,TECH,-0.0222902841579
659,FCNCA,-0.0222577668825
84,ALL,-0.0222047244096
224,BBY,-0.0220929466224
153,ARIA,-0.0219092331768
1509,SBUX,-0.0218347726896
679,FLEX,-0.021815008726
699,FSP,-0.0217391304359
1461,SIRI,-0.02163461538
1092,MC,-0.0214621059672
523,DORM,-0.0214388785817
271,BRO,-0.0213414634152
588,ETR,-0.0212355251091
963,LPI,-0.0212014134289
1104,MORN,-0.0211810422956
696,FI,-0.0211143694981
311,CSL,-0.0210395313299
98,AAL,-0.0210355987061
1154,NYCB,-0.0209958008412
1294,POOL,-0.020926655274
619,EXEL,-0.0208333333333
65,ARE,-0.0207815807301
1135,NAVG,-0.020773884259
610,ETSY,-0.020708697653
1227,ORA,-0.0206766917284
1021,MANT,-0.0205122472897
1534,SMCI,-0.0205122472897
1084,MSTR,-0.0205122472897
1593,TVPT,-0.0205122472897
450,COUP,-0.0205122472897
614,RE,-0.020395139383
537,DFT,-0.0202522441049
1209,ORI,-0.0201976406116
1473,LNCE,-0.0198193677873
761,HAIN,-0.0194221898519
106,AFG,-0.0191795618954
146,ARMK,-0.019160583941
1592,TRV,-0.0190814318587
124,APC,-0.0190677966102
846,IIVI,-0.0190274841438
460,CCK,-0.0187729823882
1199,OAK,-0.0187127287668
751,GDOT,-0.0185295875672
451,CUZ,-0.0185052123854
68,ALGN,-0.0184826352661
872,INTC,-0.0182388144768
120,AMGN,-0.0181450675555
569,ENBL,-0.0181430096131
1167,NLSN,-0.0181205225448
466,CUB,-0.0180798004988
1464,SJW,-0.0178867174539
130,ANSS,-0.0178381822043
1040,MXIM,-0.0178340656495
635,FICO,-0.0178329335693
723,G,-0.0176956350767
1429,SEE,-0.0175943246653
484,DPM,-0.0175716734348
486,DDR,-0.0173987796443
883,IPG,-0.0170221934928
376,CIT,-0.0167422478285
1211,OLLI,-0.0166393250522
1051,MJN,-0.0165496618576
24,ATU,-0.0164203612477
815,HD,-0.0162166183141
975,LUK,-0.0161715324067
545,EGRX,-0.015762015762
112,AWK,-0.0156663800709
873,IBKR,-0.0153568202365
1483,SWX,-0.0153516601219
950,KHC,-0.0150917609879
375,CSCO,-0.0150525933987
875,ICE,-0.0149736859066
140,APLE,-0.0148711579852
1186,DNOW,-0.0148533950612
763,HALO,-0.0147811256396
650,FGL,-0.0147572815515
593,EPAM,-0.0145399849586
235,HAWK,-0.0145340125862
1502,STJ,-0.0145167390061
528,DW,-0.0144059566204
1280,PF,-0.0143738236357
1001,LOW,-0.0141319849607
1347,RPT,-0.0140308289562
832,HPP,-0.0139203565749
996,LMT,-0.013851044505
49,AL,-0.0137660203747
299,CPN,-0.013633265167
1327,PEG,-0.0134691706754
1349,RJF,-0.0134261955112
682,FLS,-0.0134261955112
957,LH,-0.0134056814555
445,CSGP,-0.0130360042021
888,IVZ,-0.0123893805335
1041,MMS,-0.0122914837572
661,FDC,-0.0122433139978
1252,PDCO,-0.012235088486
10,ABT,-0.0120985481751
126,ALOG,-0.0120827110486
1325,PSB,-0.0118722395965
573,ENDP,-0.0117836965295
1472,SNA,-0.0117599584944
1185,NVS,-0.0116981132046
378,CFG,-0.0116981132046
866,NSIT,-0.0110898661568
72,ALGT,-0.0108131898845
1290,PNC,-0.0107939802795
518,DM,-0.0106485963215
935,KMB,-0.0106282792958
604,ERIE,-0.010473354553
1126,NGHC,-0.0104155866415
1266,PEN,-0.010405827263
718,GIS,-0.0102986611748
539,DD,-0.0101070154575
1390,ROP,-0.0100954344253
265,BR,-0.0100515168201
227,BIO,-0.00985432733505
417,CBU,-0.0098202436544
83,MDRX,-0.00965872504829
1217,ON,-0.00944606437068
686,FL,-0.00898294762628
1072,MTD,-0.00888447263056
79,AB,-0.00872817955219
1093,MHK,-0.00853313789132
1435,SEM,-0.00832639467111
602,EQY,-0.00831116430891
1245,PRXL,-0.00815375655213
